,ExternOrderNo,Weight (g),Weight (kg),Slab
0,2001809820,3080.0,3.08,
1,2001812854,2572.0,2.572,2.5
2,2001806408,2265.0,2.265,2.5
3,2001827036,2176.0,2.176,2.0
4,2001821185,2098.0,2.098,2.0
5,2001807362,2016.0,2.016,2.0
6,2001806471,1621.0,1.621,1.5
7,2001825261,1557.0,1.557,1.5
8,2001809794,1517.0,1.517,1.5
9,2001809592,1505.0,1.505,1.5
10,2001807036,1459.0,1.459,1.5
11,2001822466,1376.0,1.376,1.5
12,2001817093,1357.0,1.357,1.5
13,2001806232,1302.0,1.302,1.5
14,2001821190,1200.0,1.2,1.5
15,2001808675,1183.0,1.183,1.0
16,2001807058,1168.0,1.168,1.0
17,2001808102,1157.0,1.157,1.0
18,2001807956,1080.0,1.08,1.0
19,2001807415,1048.0,1.048,1.0
20,2001811192,1032.0,1.032,1.0
21,2001810549,986.0,0.986,1.0
22,2001806733,967.0,0.967,1.0
23,2001806616,963.0,0.963,1.0
24,2001806567,952.0,0.952,1.0
25,2001811306,945.0,0.945,0.5
26,2001807960,930.0,0.93,0.5
27,2001816684,920.0,0.92,0.5
28,2001818390,841.0,0.841,0.5
29,2001806885,840.0,0.84,0.5
30,2001806768,840.0,0.84,0.5
31,2001807613,830.0,0.83,0.5
32,2001807970,765.0,0.765,0.5
33,2001821750,755.0,0.755,0.5
34,2001811305,750.0,0.75,0.5
35,2001808542,734.0,0.734,0.5
36,2001808801,731.0,0.731,0.5
37,2001807976,721.0,0.721,0.5
38,2001811604,721.0,0.721,0.5
39,2001813009,720.0,0.72,0.5
40,2001806458,700.0,0.7,0.5
41,2001817160,700.0,0.7,0.5
42,2001811475,689.0,0.689,0.5
43,2001823564,672.0,0.672,0.5
44,2001809917,630.0,0.63,0.5
45,2001806273,615.0,0.615,0.5
46,2001806776,611.0,0.611,0.5
47,2001808207,607.0,0.607,0.5
48,2001808507,607.0,0.607,0.5
49,2001811466,607.0,0.607,0.5
50,2001811153,607.0,0.607,0.5
51,2001807931,607.0,0.607,0.5
52,2001810697,607.0,0.607,0.5
53,2001807241,607.0,0.607,0.5
54,2001809383,607.0,0.607,0.5
55,2001807814,607.0,0.607,0.5
56,2001808286,601.0,0.601,0.5
57,2001810104,601.0,0.601,0.5
58,2001808832,600.0,0.6,0.5
59,2001812650,563.0,0.563,0.5
60,2001812838,558.0,0.558,0.5
61,2001821502,558.0,0.558,0.5
62,2001816131,554.0,0.554,0.5
63,2001820978,515.0,0.515,0.5
64,2001811363,508.0,0.508,0.5
65,2001811229,505.0,0.505,0.5
66,2001810281,500.0,0.5,0.5
67,2001806575,500.0,0.5,0.5
68,2001811809,500.0,0.5,0.5
69,2001811058,500.0,0.5,0.5
70,2001812195,500.0,0.5,0.5
71,2001806338,500.0,0.5,0.5
72,2001812941,500.0,0.5,0.5
73,2001816996,500.0,0.5,0.5
74,2001806304,500.0,0.5,0.5
75,2001806229,500.0,0.5,0.5
76,2001810125,500.0,0.5,0.5
77,2001809270,500.0,0.5,0.5
78,2001806735,500.0,0.5,0.5
79,2001806726,500.0,0.5,0.5
80,2001807186,500.0,0.5,0.5
81,2001806446,500.0,0.5,0.5
82,2001806968,500.0,0.5,0.5
83,2001807290,500.0,0.5,0.5
84,2001807329,500.0,0.5,0.5
85,2001806828,500.0,0.5,0.5
86,2001807785,500.0,0.5,0.5
87,2001807852,500.0,0.5,0.5
88,2001807981,500.0,0.5,0.5
89,2001807004,500.0,0.5,0.5
90,2001807084,500.0,0.5,0.5
91,2001808475,500.0,0.5,0.5
92,2001808585,500.0,0.5,0.5
93,2001808679,500.0,0.5,0.5
94,2001806652,500.0,0.5,0.5
95,2001808837,500.0,0.5,0.5
96,2001808883,500.0,0.5,0.5
97,2001808992,500.0,0.5,0.5
98,2001806533,500.0,0.5,0.5
99,2001807328,490.0,0.49,0.5
100,2001811039,488.0,0.488,0.5
101,2001806226,480.0,0.48,0.5
102,2001821995,477.0,0.477,0.5
103,2001806801,361.0,0.361,0.5
104,2001809934,361.0,0.361,0.5
105,2001808118,343.0,0.343,0.5
106,2001819252,270.0,0.27,0.5
107,2001806233,245.0,0.245,0.5
108,2001806251,245.0,0.245,0.5
109,2001808295,245.0,0.245,0.5
110,2001807012,240.0,0.24,0.5
111,2001821742,240.0,0.24,0.5
112,2001807930,240.0,0.24,0.5
113,2001821766,240.0,0.24,0.5
114,2001806686,240.0,0.24,0.5
115,2001815688,220.0,0.22,0.5
116,2001808739,220.0,0.22,0.5
117,2001806210,220.0,0.22,0.5
118,2001821284,177.0,0.177,0.5
119,2001821679,165.0,0.165,0.5
120,2001806823,127.0,0.127,0.5
121,2001814580,127.0,0.127,0.5
122,2001806547,127.0,0.127,0.5
123,2001820690,65.0,0.065,0.5
